"row_mse_0","row_sds_0","row_mse_0.05","row_sds_0.05","row_mse_0.1","row_sds_0.1","row_mse_0.15","row_sds_0.15","row_mse_0.2","row_sds_0.2","row_mse_0.25","row_sds_0.25","row_mse_0.3","row_sds_0.3","row_mse_0.35","row_sds_0.35","row_mse_0.4","row_sds_0.4","row_mse_0.45","row_sds_0.45","row_mse_0.5","row_sds_0.5","row_mse_0.55","row_sds_0.55","row_mse_0.6","row_sds_0.6","row_mse_0.65","row_sds_0.65","row_mse_0.7","row_sds_0.7","row_mse_0.75","row_sds_0.75","row_mse_0.8","row_sds_0.8","row_mse_0.85","row_sds_0.85","row_mse_0.9","row_sds_0.9","row_mse_0.95","row_sds_0.95","row_mse_1","row_sds_1"
0.00020625,3.66862464939953e-05,4e-04,0.00010417424214878,0.00045625,8.03711207179204e-05,0.00073125,0.000232678837215332,0.000975,0.000207254783912327,0.00196875,0.000364475092157242,0.00599375,0.00108439251106578,0.0186625,0.0028858220232717,0.0758,0.00608805389697933,0.04468125,0.00614169734352562,0.00385,0.000654645404826618,0.00176875,0.000289365243797837,0.0007125,0.000142139362897293,0.00056875,0.000108105456720405,0.00015,3.45424639853879e-05,0.0001875,4.21374914039527e-05,0.000175,3.56221755924507e-05,1e-04,2.30283093235919e-05,8.75e-05,2.17959430012361e-05,2.5e-05,1.23091490979333e-05,6.25e-06,6.24999999999999e-06
0.0002125,2.97559517855952e-05,5e-04,0.000127500247573537,0.00038125,7.21113538112053e-05,0.00073125,0.000178565543734201,0.0010875,0.000215706643524501,0.00209375,0.000391913908907236,0.0056,0.000999207387903234,0.01914375,0.00305613070660162,0.080775,0.00622531184566344,0.04106875,0.00582903856374716,0.0039,0.000880265541892004,0.0015375,0.000258446334034278,0.00084375,0.000185994587938532,5e-04,8.52062263575909e-05,0.00013125,2.55850112962708e-05,0.00020625,4.26540212676722e-05,0.000175,3.56221755924507e-05,8.75e-05,2.17959430012361e-05,0.00010625,3.20971044825171e-05,2.5e-05,1.23091490979333e-05,1.25e-05,8.79408088351812e-06
0.000175,2.82038037408883e-05,0.00035,9.24552853977522e-05,0.000475,0.000112057209414737,0.000725,0.000180032264223989,0.00095,0.000185166455281771,0.00240625,0.00040625,0.0058375,0.00104103086657001,0.01864375,0.00309679258100583,0.07920625,0.00598477560669571,0.0381625,0.00561849244783364,0.00369375,0.000834331551757199,0.0017125,0.000300937613085664,0.00094375,0.000197741150244455,0.00055625,8.65364515651927e-05,0.00016875,4.1529129061492e-05,0.00020625,4.26540212676722e-05,0.00016875,3.53720753154408e-05,1e-04,2.30283093235919e-05,0.00011875,3.28744454959572e-05,3.125e-05,1.36901820973494e-05,1.25e-05,8.79408088351812e-06
0.000225,4.30820218427665e-05,0.0004625,0.000131647725910377,0.000525,0.000109059338866231,0.00065,0.000128093045411639,0.00109375,0.00020650237084999,0.00221875,0.000361867590990256,0.00568125,0.000999806444336284,0.01846875,0.00292993969874084,0.0777875,0.00598409363047428,0.03814375,0.00574809514314275,0.00489375,0.000949566911847584,0.0018125,0.000306250644196395,0.000775,0.000165029841195005,0.00050625,8.22347089037522e-05,0.0001625,3.51089573882348e-05,0.00020625,4.26540212676722e-05,0.000175,3.56221755924507e-05,0.0001125,2.41326824790856e-05,0.00010625,3.20971044825171e-05,3.75e-05,1.49177035359964e-05,6.25e-06,6.24999999999999e-06
0.000175,2.82038037408883e-05,0.00048125,0.000133207504547142,0.000525,0.000121387184186999,0.00085625,0.000241106816252536,0.0010625,0.00019350648594042,0.00246875,0.000430762973417721,0.0060375,0.00123626353900727,0.01956875,0.0030606724473842,0.08263125,0.00650871292858599,0.0401125,0.00588583905027632,0.0038125,0.000659914910722541,0.00155,0.000295494364061177,0.00085,0.000196946385566932,0.00050625,8.5064870522265e-05,0.00016875,3.53720753154408e-05,0.000225,4.82653649581711e-05,0.00018125,3.58595305929042e-05,0.0001125,2.41326824790856e-05,0.00013125,4.00195264839553e-05,2.5e-05,1.23091490979333e-05,3.125e-05,1.36901820973494e-05
0.00023125,3.73259851399352e-05,5e-04,0.000125629726907401,6e-04,0.000100472369185249,0.000775,0.000181429508808977,0.00123125,0.000219843945742879,0.002425,0.000426334802281451,0.00645,0.0011791432431553,0.0204375,0.00332402227023681,0.07524375,0.00597136405553305,0.03801875,0.00593143333741832,0.0049375,0.000989947102198655,0.0018875,0.000296893108166504,0.0009625,0.000186004134036822,0.00055,8.67118180753892e-05,0.00018125,4.19450924760965e-05,0.000225,4.82653649581711e-05,0.000175,3.56221755924507e-05,1e-04,2.30283093235919e-05,0.00013125,4.00195264839553e-05,2.5e-05,1.23091490979333e-05,6.25e-06,6.24999999999999e-06
0.00023125,4.32054859381482e-05,0.000425,9.68571790385882e-05,0.00065,0.000129928107549187,0.00086875,0.000244719323610713,0.00121875,0.000234926749544438,0.00248125,0.000431228040723305,0.00705,0.00131995178975322,0.0215125,0.00348196312944989,0.07895,0.00614444244661775,0.0363875,0.00539894083912238,0.00415,0.000810945482605073,0.00183125,0.000267277797592427,0.000925,0.000205372905474482,0.0004375,6.79446633130762e-05,0.00016875,4.1529129061492e-05,0.00021875,4.29490169335173e-05,0.00015625,3.48325268139196e-05,1e-04,2.30283093235919e-05,8.75e-05,2.17959430012361e-05,3.125e-05,1.36901820973494e-05,1.25e-05,8.79408088351812e-06
0.00018125,4.19450924760965e-05,0.00045,0.000103627391956164,0.0006125,0.000125308961605249,0.0007375,0.000130974638997808,0.00113125,0.000209597490334559,0.0027875,0.000548501459442089,0.0066125,0.00118092544710331,0.020175,0.00318441101066563,0.08534375,0.00613077170211957,0.0371625,0.0054777472524863,0.0043125,0.000948421236007023,0.0017375,0.000289300466817823,0.000875,0.00016039329817985,0.00056875,9.8958831737182e-05,0.000175,4.17423554968361e-05,0.00024375,4.85709610526265e-05,0.00016875,3.53720753154408e-05,0.0001125,2.41326824790856e-05,0.00010625,3.20971044825171e-05,3.125e-05,1.36901820973494e-05,1.25e-05,8.79408088351812e-06
0.00026875,4.375e-05,0.00045625,0.000122401978407956,0.0005125,0.000123533059003114,0.00081875,0.000237983790881274,0.00113125,0.000202707175165647,0.002725,0.000609240709756203,0.00753125,0.00140420024575442,0.02230625,0.00359520249522776,0.081,0.00579225253195502,0.0386375,0.00564216922362134,0.00403125,0.000919862498988547,0.0018,0.000281096338494744,0.0007875,0.00015427923817978,0.00050625,7.30896217190259e-05,0.000225,4.82653649581712e-05,0.00021875,4.29490169335173e-05,0.00016875,3.53720753154408e-05,0.0001125,2.41326824790856e-05,0.0001125,3.24941719716199e-05,3.125e-05,1.36901820973494e-05,1.25e-05,8.79408088351812e-06
0.00025625,4.36054610957588e-05,0.00049375,0.000138276902966256,0.00051875,9.27684304702799e-05,0.0008125,0.000236120394945229,0.0012,0.000224325588591604,0.0023625,0.000373374000084893,0.00683125,0.00127504131320471,0.02383125,0.00349647702158902,0.08215625,0.00605435824088438,0.0331375,0.00532578908294917,0.003275,0.000574412303967712,0.00184375,0.000282090494963026,0.00080625,0.000148990447375296,0.000575,0.000105738146170413,0.00015,3.45424639853879e-05,0.00023125,5.30441675598856e-05,0.000175,3.56221755924507e-05,8.75e-05,2.17959430012361e-05,0.00013125,3.35868672477078e-05,1.875e-05,1.07154129998603e-05,1.875e-05,1.07154129998603e-05
